,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR,TYPE,Reintro
71,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
139,5.8,4.7,5.8,4.1,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
198,8.73,7.86,7.69,5.74,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
204,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
254,65.67,115,12.9,7,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
546,230,12.62,2,0.62,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
650,230,20.58,2.9,0.98,Alouatta guariba,1,Alouatta guariba,Reintro_A
720,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
753,200,10,2,0.61,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
919,28.79,21.42,17,11,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
924,30.69,21.17,21.6,12.49,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
941,31,23,18.3,11.53,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
971,4,3.4,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
980,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
999,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1016,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1024,9,10,7.5,5.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1050,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1069,20,22,15,10,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1073,20,18,13,9,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1088,13,14,11.5,8,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1093,63.36,24,45.6,24.18,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1099,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1165,28.29,11,11.8,9.7,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1183,23,27,17,9.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1207,20,17,16,14,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1211,210,40,13,6,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1212,45,9,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1393,12.6,9,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1419,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1447,9.58,13.05,7.1,4.45,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1480,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1486,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1526,16,11,13,8.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1539,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1568,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1594,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1626,NA,NA,9.29,6.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1651,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1675,12,11,10,9.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1690,22,15,12,7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1714,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1730,36.1,26.7,10,8.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1754,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1775,35,34.6,8.91,7.76,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1802,NA,29,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1823,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1845,32.2,22.3,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1888,20.7,19.13,16.4,14.46,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1912,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1934,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1949,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1981,18.2,9.7,18.9,9.41,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2003,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2032,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2054,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2080,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2100,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2122,5,8,4,7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2140,31,18,26,16,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2158,9.9,6.9,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2184,18.7,16.4,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2206,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2223,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2249,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2283,NA,1,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2369,32,23,1,0.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2411,5,6,1.2,0.7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2486,14,12,1.4,1.2,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2530,14,14,1.2,1,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
2588,16.6,18,1,0.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2617,19.81,23.09,0.5,0.4,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2720,7,6,0.5,0.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2785,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2838,17,20,2.8,1.7,Alouatta guariba,1,Alouatta guariba,Reintro_A
2902,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2945,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
2996,10,8,0.9,0.7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3057,8,7,0.7,0.7,Alouatta guariba,1,Alouatta guariba,Reintro_A
3093,8,8,1.1,1.1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3146,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3208,17.93,18,0.8,0.7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3253,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3323,10,10,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3326,9,9,7.5,7.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3331,10,8,NA,NA,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
3363,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3405,16,12,13,10,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3419,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3435,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3463,9.4,5.3,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3469,8,5,6,5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3473,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3486,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3521,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3544,4.8,4.7,4.8,2.6,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
3545,70,20,13.6,7.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3553,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3558,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3565,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3573,110,15,11,9,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3576,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3581,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3590,150,45,15,8,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3596,96,34,16.8,3.18,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3608,54.96,31,3.1,5.8,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
3609,68,42,6.1,5,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
3902,14.2,12.6,2.5,2.1,Alouatta guariba,1,Alouatta guariba,Reintro_A
4104,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4194,2.6,3,NA,1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4271,4.6,3.4,0.5,0.4,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4349,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4446,3.3,4,3.3,3.1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4501,3.7,4.5,1.4,1.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4611,3.51,2.54,0.4,0.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4672,NA,NA,NA,1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4752,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4826,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4915,3.6,3,1,0.85,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
4971,1.9,2.3,1,1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5054,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5137,3.2,3.4,0.6,0.61,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5225,4.5,4.5,2.7,1.6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5297,3.2,3.54,1.21,1.34,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5364,6.3,6,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5457,5,4,0.7,0.4,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5498,3.4,3.6,1,1,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
5584,4.4,3.9,1.1,0.9,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5793,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5853,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5903,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5958,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6008,8,7.6,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6059,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6107,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6152,13.2,11.6,6.58,0.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6178,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6240,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6272,6.5,4.5,3,2.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6318,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6379,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6437,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6749,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6769,27,15,25,14,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6795,10,15,8,10,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6832,15,11,14,10,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6847,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6886,12.4,13,11,10.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6889,15,9,14,8,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6921,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6950,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6969,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
6990,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7011,15,15,14,14,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7032,16.2,1.6,16,10.6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7050,9,NA,8,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7077,9,7,8,5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7098,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7123,NA,NA,NA,7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7138,34.5,20,29,17,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7167,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7189,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7205,15,12.4,12.7,10.6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7232,8,16,7,13.6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7250,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7281,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7311,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7331,21.83,12.98,12,5,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
7345,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7360,20,15,15,11,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
7391,21,17,20,16,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7418,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7427,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7453,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7566,9,7,8.3,6.6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
7608,20,18,4.8,4.5,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
7661,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
8240,NA,7,NA,6,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
8249,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
8274,32.4,31,4,2.5,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
8299,59.4,57,4.7,3.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
8881,6,6,3.5,3.5,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
8915,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
8998,6,6.2,1.4,1,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9040,20,11,2.2,2,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9091,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9140,15,10,2.5,2,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9166,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9237,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9270,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9296,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9345,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9382,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9419,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9496,7.6,6.3,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9541,NA,8,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9547,11,9.1,9,7,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
9556,15.7,14.3,5.8,8.29,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9567,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9616,60,42,15,15,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9926,36.8,21,24,16,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
9939,34.85,23.34,26,20,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9955,35,23,22,12,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
9980,26,4.5,5.8,4.1,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
10013,8,6,8.6,6.12,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
5745,NA,NA,NA,NA,Anoura caudifer,0.5,Chiroptera,PNT
5750,120,30,NA,4,Anoura caudifer,1,Chiroptera,PNT
7665,166,6,0.84,0.34,Anoura geoffroyi,1,Chiroptera,PNT
7705,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7736,120,10,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7759,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7785,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7809,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7851,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7876,100,6,1,0.8,Anoura geoffroyi,0.5,Chiroptera,PNT
7901,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7951,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7967,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
7993,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
8023,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
8057,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
8081,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
8118,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
8156,NA,NA,NA,NA,Anoura geoffroyi,0.5,Chiroptera,PNT
533,230,12.62,2,0.62,Artibeus fimbriatus,1,Chiroptera,PNT
607,230,20.58,2.9,0.98,Artibeus fimbriatus,0.5,Chiroptera,PNT
684,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
777,200,10,2,0.61,Artibeus fimbriatus,1,Chiroptera,PNT
2351,32,23,1,0.5,Artibeus fimbriatus,0.5,Chiroptera,PNT
2413,5,6,1.2,0.7,Artibeus fimbriatus,0.5,Chiroptera,PNT
2464,14,12,1.4,1.2,Artibeus fimbriatus,0.5,Chiroptera,PNT
2544,14,14,1.2,1,Artibeus fimbriatus,0.75,Chiroptera,PNT
2603,16.6,18,1,0.5,Artibeus fimbriatus,0.5,Chiroptera,PNT
2630,19.81,23.09,0.5,0.4,Artibeus fimbriatus,0.5,Chiroptera,PNT
2693,7,6,0.5,0.3,Artibeus fimbriatus,0.5,Chiroptera,PNT
2744,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
2812,17,20,2.8,1.7,Artibeus fimbriatus,1,Chiroptera,PNT
2860,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
2925,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
3001,10,8,0.9,0.7,Artibeus fimbriatus,0.5,Chiroptera,PNT
3061,8,7,0.7,0.7,Artibeus fimbriatus,0.75,Chiroptera,PNT
3123,8,8,1.1,1.1,Artibeus fimbriatus,0.5,Chiroptera,PNT
3190,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
3238,17.93,18,0.8,0.7,Artibeus fimbriatus,0.5,Chiroptera,PNT
3301,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
3890,14.2,12.6,2.5,2.1,Artibeus fimbriatus,1,Chiroptera,PNT
3906,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
3913,21,19,11.5,7,Artibeus fimbriatus,0.5,Chiroptera,PNT
7664,166,6,0.84,0.34,Artibeus fimbriatus,1,Chiroptera,PNT
7695,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7732,120,10,NA,NA,Artibeus fimbriatus,0.75,Chiroptera,PNT
7768,NA,NA,NA,NA,Artibeus fimbriatus,0.75,Chiroptera,PNT
7792,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7825,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7859,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7884,100,6,1,0.8,Artibeus fimbriatus,0.75,Chiroptera,PNT
7906,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7946,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7969,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
7998,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8036,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8058,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8072,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8105,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8146,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8328,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8351,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8377,5.2,5.5,5,4.3,Artibeus fimbriatus,0.5,Chiroptera,PNT
8394,5.09,4.02,3,2.4,Artibeus fimbriatus,0.5,Chiroptera,PNT
8427,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8447,8,9,3,2.4,Artibeus fimbriatus,0.5,Chiroptera,PNT
8462,5.4,6.2,4,3,Artibeus fimbriatus,0.5,Chiroptera,PNT
8488,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8511,8.7,7,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8542,NA,11,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8572,11,13,4,3,Artibeus fimbriatus,1,Chiroptera,PNT
8592,0.4,3.7,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
8789,15,12.6,1.5,1,Artibeus fimbriatus,0.75,Chiroptera,PNT
8820,10,8,2.2,1.4,Artibeus fimbriatus,0.5,Chiroptera,PNT
9030,6,6.2,1.4,1,Artibeus fimbriatus,0.5,Chiroptera,PNT
9054,20,11,2.2,2,Artibeus fimbriatus,0.5,Chiroptera,PNT
9093,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9146,15,10,2.5,2,Artibeus fimbriatus,0.75,Chiroptera,PNT
9180,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9217,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9265,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9311,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9360,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9396,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9440,NA,NA,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9473,7.6,6.3,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9522,NA,8,NA,NA,Artibeus fimbriatus,0.5,Chiroptera,PNT
9611,60,42,15,15,Artibeus fimbriatus,0.5,Chiroptera,PNT
245,40,35,35,30,Artibeus jamaicensis,0.5,Chiroptera,PNT
247,84.88,70.72,82.9,63.84,Artibeus jamaicensis,0.5,Chiroptera,PNT
252,65.67,115,12.9,7,Artibeus jamaicensis,0.5,Chiroptera,PNT
310,600,325,32.5,23.5,Artibeus jamaicensis,0.75,Chiroptera,PNT
319,360,270,29,22,Artibeus jamaicensis,0.5,Chiroptera,PNT
566,230,12.62,2,0.62,Artibeus jamaicensis,1,Chiroptera,PNT
642,230,20.58,2.9,0.98,Artibeus jamaicensis,0.5,Chiroptera,PNT
719,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
784,200,10,2,0.61,Artibeus jamaicensis,1,Chiroptera,PNT
899,11,8,10,5,Artibeus jamaicensis,0.75,Chiroptera,PNT
1235,30,23,13,11,Artibeus jamaicensis,1,Chiroptera,PNT
2338,32,23,1,0.5,Artibeus jamaicensis,0.5,Chiroptera,PNT
2400,5,6,1.2,0.7,Artibeus jamaicensis,0.5,Chiroptera,PNT
2463,14,12,1.4,1.2,Artibeus jamaicensis,0.5,Chiroptera,PNT
2505,14,14,1.2,1,Artibeus jamaicensis,0.5,Chiroptera,PNT
2556,16.6,18,1,0.5,Artibeus jamaicensis,0.5,Chiroptera,PNT
2629,19.81,23.09,0.5,0.4,Artibeus jamaicensis,0.75,Chiroptera,PNT
2684,7,6,0.5,0.3,Artibeus jamaicensis,0.5,Chiroptera,PNT
2763,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
2799,17,20,2.8,1.7,Artibeus jamaicensis,0.5,Chiroptera,PNT
2871,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
2912,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
2970,10,8,0.9,0.7,Artibeus jamaicensis,0.75,Chiroptera,PNT
3028,8,7,0.7,0.7,Artibeus jamaicensis,0.5,Chiroptera,PNT
3077,8,8,1.1,1.1,Artibeus jamaicensis,0.5,Chiroptera,PNT
3137,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
3197,17.93,18,0.8,0.7,Artibeus jamaicensis,0.5,Chiroptera,PNT
3256,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
3887,14.2,12.6,2.5,2.1,Artibeus jamaicensis,1,Chiroptera,PNT
3903,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
3914,21,19,11.5,7,Artibeus jamaicensis,0.5,Chiroptera,PNT
5742,NA,NA,NA,NA,Artibeus jamaicensis,0.5,Chiroptera,PNT
